theta1,theta2,gamma4,gamma1,gamma2,gamma3,l1
0.0,0.15974199933507421,1.9169039920208906,0.7543935570897813,0.9418750319646464,0.7836397959740695,172.23503233998136
0.0,0.15974199933507421,1.970151325132582,0.7599935992643259,0.9411036357178214,0.771638833937961,171.4379897984902
0.0,0.15974199933507421,2.0233986582442736,0.7650936818175813,0.9403801150624558,0.759503879693565,170.71254262682396
0.0,0.15974199933507421,2.076645991355965,0.7696831996386732,0.9397122042625132,0.7472685170910592,170.06008579450943
0.0,0.15974199933507421,2.1298933244676563,0.773751687212952,0.9391069946287798,0.7349664729502388,169.4819973495696
0.0,0.15974199933507421,2.1831406575793477,0.7772888125106903,0.9385709376421084,0.72263163209853,168.97964179835313
0.0,0.15974199933507421,2.236387990691039,0.7802843797680504,0.9381098428014616,0.7102980448785671,168.55437210396914
0.0,0.15974199933507421,2.2896353238027305,0.7827283421873906,0.9377288697021785,0.6979999258976114,168.20753014948113
0.0,0.15974199933507421,2.342882656914422,0.7846108257200283,0.937432513845104,0.6857716426229161,167.9404454931603
0.0,0.15974199933507421,2.3961299900261133,0.7859221650319663,0.9372245858597152,0.6736476923887695,167.75443222357282
0.0,0.15974199933507421,2.4493773231378047,0.7866529531058215,0.9371081835997449,0.6616626660170497,167.6507837085023
0.0,0.15974199933507421,2.502624656249496,0.7867941056110768,0.9370856569896712,0.64985119638102,167.63076501536307
0.0,0.15974199933507421,2.5558719893611874,0.7863369416699636,0.937158565128721,0.638247889758492,167.69560277516797
0.0,0.15974199933507421,2.609119322472879,0.7852732819915713,0.937327625866205,0.6268872381822721,167.846472256984
0.0,0.15974199933507421,2.66236665558457,0.7835955660161449,0.9375926575011557,0.6158035103964968,168.08448142980993
0.0,0.15974199933507421,2.7156139886962616,0.7812969886736768,0.9379525132697449,0.6050306196876067,168.41065180597073
0.0,0.15974199933507421,2.768861321807953,0.7783716578678648,0.9384050088178125,0.5946019664273793,168.82589589657923
0.0,0.15974199933507421,2.8221086549196444,0.7748147726487001,0.9389468438698988,0.5845502539735936,169.3309911643685
0.0,0.15974199933507421,2.875355988031336,0.770622822226343,0.9395735190379808,0.5749072764830561,169.92655043566666
0.0,0.15974199933507421,2.9286033211430276,0.7657938044708923,0.9402792499087741,0.5657036783986272,170.61298884081242
0.0,0.15974199933507421,2.981850654254719,0.7603274622821654,0.9410568805329792,0.5569686857906232,171.39048748519374
0.0,0.15974199933507421,3.0350979873664103,0.7542255347307195,0.9418977994246225,0.5487298111501238,172.25895422187284
0.0,0.15974199933507421,3.0883453204781017,0.7474920186954083,0.9427918617765332,0.5410125345742942,173.21798209594223
0.0,0.15974199933507421,3.141592653589793,0.7401334354371122,0.9437273221911334,0.5338399658643272,174.26680625698717
0.0,0.21298933244676563,0.0,0.3427894663590328,0.9083317531550151,0.872777841611011,228.62254353646838
0.0,0.21298933244676563,0.05324733311169141,0.3535025326411976,0.9144613324114746,0.8855295184076009,227.1590865888038
0.0,0.21298933244676563,0.15974199933507421,0.3764436621179741,0.9261796660002125,0.9086057958608461,224.00031121641027
0.0,0.21298933244676563,0.21298933244676563,0.3885462835227557,0.9316427295643408,0.9187805282955505,222.32168846169873
0.0,0.21298933244676563,0.26623666555845704,0.4009880645192601,0.9367786973222623,0.9279739467436134,220.58824600653966
0.0,0.21298933244676563,0.31948399867014843,0.4137097715514783,0.9415552178041955,0.93615109221153,218.80841036071325
0.0,0.21298933244676563,0.37273133178183987,0.42665486108909384,0.9459507200507108,0.9432907393125074,216.9904019593956
0.0,0.21298933244676563,0.42597866489353126,0.4397698506386856,0.9499531497460083,0.949383674537689,215.142147890354
0.0,0.21298933244676563,0.47922599800522264,0.4530045115328811,0.9535586064088548,0.9544309160387168,213.27122080010037
0.0,0.21298933244676563,0.5324733311169141,0.46631192168216307,0.956769984829382,0.9584419898051437,211.38480025319765
0.0,0.21298933244676563,0.5857206642286055,0.4796484143586891,0.9595956917675875,0.9614333376862261,209.48965240640644
0.0,0.21298933244676563,0.6389679973402969,0.4929734545082708,0.9620484811085916,0.9634268996931077,207.5921239677649
0.0,0.21298933244676563,0.6922153304519882,0.5062494682805269,0.9641444290412494,0.9644488880673323,205.69814681770262
0.0,0.21298933244676563,0.7454626635636797,0.5194416459793477,0.9659020547908801,0.9645287527428242,203.8132502372519
